"id","sentiment"
"0_10",0.525034
"0_2",0.479468
"10000_4",0.449436
"10000_7",0.616006
"10001_1",0.442184
"10001_9",0.590307
"10002_3",0.475351
"10002_8",0.516332
"10003_3",0.524428
"10003_8",0.605661
"10004_2",0.48106
"10004_9",0.612512
"10005_2",0.480565
"10005_8",0.563038
"10006_2",0.448194
"10006_7",0.522792
"10007_10",0.531085
"10007_4",0.471681
"10008_4",0.521354
"10008_8",0.708825
"10009_10",0.477152
"10009_3",0.46282
"1000_3",0.471851
"1000_9",0.52576
"10010_2",0.472532
"10010_9",0.537682
"10011_1",0.469147
"10011_9",0.542293
"10012_1",0.385439
"10012_9",0.494646
"10013_4",0.476903
"10013_9",0.602877
"10014_2",0.483523
"10014_7",0.497241
"10015_4",0.515659
"10015_8",0.624683
"10016_3",0.509606
"10016_8",0.524518
"10017_1",0.520942
"10017_8",0.504003
"10018_1",0.476188
"10018_8",0.502123
"10019_1",0.399435
"10019_8",0.614084
"1001_10",0.58648
"1001_4",0.499586
"10020_1",0.395168
"10020_8",0.539006
"10021_3",0.436093
"10021_9",0.55449
"10022_10",0.551787
"10022_4",0.402015
"10023_4",0.48287
"10023_8",0.587951
"10024_3",0.276856
"10024_9",0.499337
"10025_2",0.366715
"10025_8",0.587539
"10026_10",1
"10026_3",0.446933
"10027_1",0.451954
"10027_8",0.573854
"10028_10",0.621961
"10028_3",0.469461
"10029_1",0.345121
"10029_10",0.707181
"1002_3",0.470822
"1002_9",0.52576
"10030_3",0.450606
"10030_7",0.570061
"10031_2",0.439123
"10031_8",0.807144
"10032_1",0.401843
"10032_8",0.674293
"10033_1",0.417529
"10033_8",0.544448
"10034_1",0.44611
"10034_9",0.687817
"10035_1",0.434797
"10035_10",0.554356
"10036_1",0.423838
"10036_10",0.520392
"10037_1",0.478723
"10037_7",0.614247
"10038_4",0.394936
"10038_7",0.579164
"10039_1",0.380586
"10039_8",0.508438
"1003_4",0.59025
"1003_8",0.509197
"10040_10",0.56254
"10040_2",0.492657
"10041_1",0.32395
"10041_8",0.528237
"10042_1",0.456075
"10042_8",0.678421
"10043_1",0.469317
"10043_10",0.577524
"10044_2",0.461237
"10044_8",0.736511
"10045_1",0.436062
"10045_7",0.653328
"10046_10",0.511747
"10046_4",0.528384
"10047_1",0.441031
"10047_10",0.588307
"10048_1",0.463007
"10048_8",0.557973
"10049_1",0.42969
"10049_8",0.723692
"1004_10",0.805271
"1004_4",0.482149
"10050_4",0.634111
"10050_8",0.573878
"10051_2",0.484656
"10051_8",0.634637
"10052_4",0.433844
"10052_7",0.639685
"10053_10",0.54336
"10053_4",0.528376
"10054_3",0.485513
"10054_7",0.568676
"10055_1",0.481767
"10055_10",0.496168
"10056_1",0.500612
"10056_8",0.519101
"10057_1",0.474506
"10057_8",0.509249
"10058_2",0.537434
"10058_8",0.518536
"10059_1",0.485786
"10059_10",0.492645
"1005_2",0.487814
"1005_7",0.52032
"10060_10",0.507012
"10060_3",0.443421
"10061_10",0.52471
"10061_4",0.505664
"10062_4",0.499326
"10062_9",0.496247
"10063_1",0.449467
"10063_10",0.531718
"10064_10",0.506985
"10064_2",0.481313
"10065_1",0.410168
"10065_8",0.546187
"10066_1",0.480343
"10066_7",0.508081
"10067_4",0.482515
"10067_7",0.527121
"10068_3",0.471742
"10068_8",0.542027
"10069_10",0.520677
"10069_3",0.465839
"1006_3",0.425178
"1006_8",0.53499
"10070_10",0.496957
"10070_3",0.468349
"10071_2",0.479391
"10071_8",0.586173
"10072_1",0.4565
"10072_10",0.555831
"10073_3",0.473823
"10073_7",0.456354
"10074_3",0.455092
"10074_7",0.558356
"10075_10",0.562068
"10075_3",0.402463
"10076_10",0.507095
"10076_3",0.39256
"10077_3",0.443036
"10077_7",0.513125
"10078_10",0.511333
"10078_3",0.476132
"10079_1",0.440363
"10079_10",0.51165
"1007_4",0.479467
"1007_9",0.503691
"10080_1",0.45821
"10080_10",0.507299
"10081_1",0.451203
"10081_10",0.446205
"10082_1",0.337136
"10082_8",0.511139
"10083_10",0.566213
"10083_2",0.47649
"10084_10",0.533183
