"id","sentiment"
"12311_10",0.506015
"8348_2",0.494983
"5828_4",0.500279
"7186_2",0.499095
"12128_7",0.50261
"2913_8",0.502313
"4396_1",0.495516
"395_2",0.498368
"10616_1",0.485985
"9074_9",0.500999
"9252_3",0.500625
"9896_9",0.500426
"574_4",0.497598
"11182_8",0.502491
"11656_4",0.499441
"2322_4",0.499442
"8703_1",0.499671
"7483_1",0.496842
"6007_10",0.504088
"12424_4",0.497861
"4672_1",0.494709
"10841_3",0.495182
"8954_7",0.496339
"7392_1",0.498551
"10288_8",0.504394
"5343_4",0.495696
"4950_1",0.49225
"9257_4",0.499649
"8689_3",0.498079
"4480_2",0.497482
"9286_10",0.500734
"12245_10",0.506512
"7529_7",0.501297
"4_4",0.497255
"5299_2",0.495262
"12077_8",0.502237
"10701_2",0.490252
"11579_1",0.493848
"10993_1",0.496539
"8913_1",0.495564
"1350_3",0.49597
"3804_2",0.492986
"5025_3",0.499488
"5170_8",0.500303
"8225_8",0.504296
"6427_7",0.502746
"3165_3",0.498684
"7902_9",0.50571
"8208_3",0.49588
"3577_8",0.502321
"4865_1",0.492997
"9063_3",0.499879
"1106_1",0.49675
"1117_9",0.505853
"1050_4",0.502302
"10755_9",0.50198
"2729_8",0.502248
"10072_10",0.502749
"2904_7",0.504787
"4584_2",0.501724
"189_4",0.500418
"6302_4",0.498545
"8138_9",0.500933
"1262_1",0.494907
"2199_10",0.503347
"6551_7",0.501678
"8082_7",0.500236
"4897_8",0.504501
"7360_1",0.497002
"11012_10",0.503617
"12046_1",0.499793
"2331_2",0.497252
"8961_9",0.501499
"751_7",0.500526
"9884_10",0.501507
"10016_8",0.502473
"8023_10",0.49952
"2628_1",0.49528
"5832_1",0.49434
"7302_1",0.493261
"4501_3",0.498038
"1121_7",0.500338
"8334_3",0.498721
"9789_10",0.496907
"4230_10",0.500404
"824_4",0.497162
"6803_9",0.503162
"3086_7",0.503329
"1135_8",0.501497
"10136_1",0.492774
"11129_3",0.493707
"2072_8",0.501197
"9501_7",0.502831
"319_10",0.501512
"1693_7",0.503835
"10886_1",0.493046
"9406_8",0.502929
"10376_10",0.497713
"9902_1",0.493003
"9938_8",0.499699
"7080_9",0.50385
"11944_8",0.498693
"5249_1",0.494387
"9599_2",0.498756
"9620_1",0.496243
"11244_1",0.497895
"6841_10",0.505881
"10050_4",0.502156
"10512_9",0.503795
"11327_3",0.493532
"10681_8",0.501477
"808_3",0.499303
"546_7",0.50397
"10765_1",0.493721
"7189_9",0.497346
"6005_9",0.503153
"11915_9",0.502278
"5740_10",0.501433
"7097_10",0.498249
"9573_10",0.50136
"5084_4",0.4995
"12332_7",0.499703
"8154_1",0.493683
"5610_1",0.497624
"5323_9",0.500283
"11034_8",0.500222
"3977_2",0.499538
"12380_7",0.497116
"1737_8",0.500221
"6030_9",0.498227
"5918_7",0.504466
"7061_9",0.502159
"266_8",0.501909
"1375_10",0.502188
"8648_3",0.496639
"10146_10",0.50456
"4578_10",0.501119
"4685_8",0.501537
"11843_9",0.502591
"5467_10",0.505678
"10140_10",0.503571
"7721_8",0.504222
"11208_10",0.498862
"1063_10",0.501511
"8260_10",0.499535
"3182_9",0.502231
"2797_8",0.502541
"7613_2",0.501693
"11624_4",0.496342
"4847_10",0.506635
"10684_7",0.503355
"6312_1",0.497673
"4925_3",0.495976
"4125_1",0.493281
"2394_10",0.507329
"12105_10",0.504167
"7812_1",0.492093
"1061_8",0.503003
"9343_3",0.501364
"7696_10",0.506739
"9355_10",0.506026
"782_9",0.504805
"9882_10",0.505846
"10642_10",0.501827
"7410_2",0.496709
"9591_4",0.496472
"11902_3",0.499528
"3495_7",0.49769
"6733_1",0.493103
"4552_1",0.493185
"6722_1",0.495991
"188_10",0.50337
"5099_10",0.503558
"10313_1",0.493743
"6756_9",0.502104
"6622_2",0.494688
"4807_10",0.50381
"7173_3",0.498675
"11321_8",0.502028
"7909_9",0.500987
"8012_7",0.496245
"8615_4",0.495365
"8117_10",0.501256
"1892_10",0.498499
"4617_1",0.494975
"1893_8",0.500457
"5435_1",0.494384
"162_3",0.49516
"6516_10",0.503891
"11588_7",0.501578
"2006_1",0.492837
"1594_4",0.498398
"1472_1",0.489397
"3647_1",0.498196
"174_7",0.500169
"5539_7",0.49787
"3384_10",0.504386
"3811_4",0.498701
"4079_8",0.501789
"1179_7",0.498666
"3069_9",0.502868
"3769_8",0.501666
"9247_10",0.503583
"10434_1",0.494927
"1147_10",0.504581
"5344_7",0.501027
"8073_10",0.506047
"7833_3",0.496045
"8370_1",0.49645
"9007_8",0.495978
"6624_7",0.499168
"6683_3",0.497427
"12275_7",0.502208
"11927_8",0.501846
"1560_10",0.504804
"1325_9",0.501831
"3548_8",0.501668
"607_1",0.494838
"6702_7",0.500662
"5702_3",0.495834
"11345_8",0.504917
"3428_4",0.500159
"7209_9",0.505063
"8425_8",0.503666
"3087_1",0.501386
"1119_8",0.501595
"5715_3",0.500638
"8645_1",0.496651
"2149_3",0.493139
"10403_10",0.499858
"5628_1",0.49603
"5570_10",0.505959
"1613_3",0.496881
"1454_4",0.502892
"5094_3",0.496923
"7982_1",0.497369
"6894_2",0.497847
"6554_1",0.49548
"4721_3",0.496371
"6904_4",0.498893
"893_8",0.504243
"4605_4",0.50069
"11516_7",0.501439
"11718_7",0.503815
"5956_1",0.494097
"7455_9",0.502149
"6396_4",0.504295
"1223_8",0.500244
"8556_1",0.498021
"6108_8",0.502336
"11690_1",0.492904
"3778_9",0.501473
"3627_4",0.499407
"8256_4",0.498942
"533_1",0.49223
"5235_4",0.495601
"621_2",0.497796
"5365_1",0.497721
"8180_3",0.496821
"7396_7",0.496861
"9776_10",0.503026
"8175_10",0.503475
"3128_1",0.497863
"4606_1",0.498376
"6158_2",0.496355
"3281_10",0.500154
"4723_4",0.496808
"11994_3",0.499276
"7701_1",0.491424
"103_3",0.495647
"8908_10",0.503487
"8876_1",0.493496
"7519_9",0.502052
"12456_8",0.501517
"9514_8",0.50032
"8680_8",0.499136
"12402_10",0.50263
"362_2",0.493467
"9825_7",0.499538
"2913_3",0.498328
"7164_8",0.501514
"11177_7",0.500366
"5707_10",0.505661
"8103_10",0.503539
"6289_1",0.490209
"11754_1",0.498872
"11640_10",0.507757
"9933_7",0.50018
"185_10",0.504861
"242_10",0.506119
"9369_8",0.502153
"7453_10",0.499193
"7514_7",0.498867
"10860_2",0.495894
