"id","sentiment"
,0.566234
"0_10",0.565548
"0_2",0.458713
"10000_4",0.421791
"10000_7",0.663715
"10001_1",0.420481
"10001_9",0.578022
"10002_3",0.525695
"10002_8",0.56692
"10003_3",0.513534
"10003_8",0.606399
"10004_2",0.484595
"10004_9",0.637395
"10005_2",0.521579
"10005_8",0.581764
"10006_2",0.429026
"10006_7",0.529063
"10007_10",0.56823
"10007_4",0.454472
"10008_4",0.506611
"10008_8",0.623799
"10009_10",0.603655
"10009_3",0.487152
"1000_3",0.517338
"1000_9",0.545466
"10010_2",0.530123
"10010_9",0.634651
"10011_1",0.481414
"10011_9",0.578832
"10012_1",0.386803
"10012_9",0.533554
"10013_4",0.488088
"10013_9",0.594487
"10014_2",0.502994
"10014_7",0.562742
"10015_4",0.529375
"10015_8",0.587502
"10016_3",0.478047
"10016_8",0.606274
"10017_1",0.518274
"10017_8",0.555694
"10018_1",0.526568
"10018_8",0.539541
"10019_1",0.370899
"10019_8",0.584196
"1001_10",0.601784
"1001_4",0.425408
"10020_1",0.405201
"10020_8",0.553885
"10021_3",0.45073
"10021_9",0.551827
"10022_10",0.604341
"10022_4",0.419421
"10023_4",0.526693
"10023_8",0.549021
"10024_3",0.343021
"10024_9",0.508918
"10025_2",0.401833
"10025_8",0.569914
"10026_10",0.71442
"10026_3",0.493888
"10027_1",0.49395
"10027_8",0.520519
"10028_10",0.601659
"10028_3",0.462205
"10029_1",0.288449
"10029_10",0.648372
"1002_3",0.48921
"1002_9",0.545466
"10030_3",0.48921
"10030_7",0.58588
"10031_2",0.439628
"10031_8",0.591306
"10032_1",0.429213
"10032_8",0.590558
"10033_1",0.459835
"10033_8",0.557191
"10034_1",0.451229
"10034_9",0.620806
"10035_1",0.455844
"10035_10",0.571598
"10036_1",0.450917
"10036_10",0.593426
"10037_1",0.49763
"10037_7",0.647936
"10038_4",0.387926
"10038_7",0.514282
"10039_1",0.381564
"10039_8",0.529999
"1003_4",0.571723
"1003_8",0.566297
"10040_10",0.57191
"10040_2",0.496258
"10041_1",0.201572
"10041_8",0.538792
"10042_1",0.472683
"10042_8",0.600599
"10043_1",0.496881
"10043_10",0.598353
"10044_2",0.474242
"10044_8",0.606586
"10045_1",0.448547
"10045_7",0.593115
"10046_10",0.528502
"10046_4",0.521953
"10047_1",0.433641
"10047_10",0.620244
"10048_1",0.462081
"10048_8",0.580891
"10049_1",0.434202
"10049_8",0.645441
"1004_10",0.725646
"1004_4",0.520706
"10050_4",0.569477
"10050_8",0.577835
"10051_2",0.489023
"10051_8",0.648996
"10052_4",0.398278
"10052_7",0.607521
"10053_10",0.593925
"10053_4",0.539541
"10054_3",0.534053
"10054_7",0.617001
"10055_1",0.498004
"10055_10",0.581764
"10056_1",0.500811
"10056_8",0.577897
"10057_1",0.49657
"10057_8",0.571224
"10058_2",0.541537
"10058_8",0.571785
"10059_1",0.501123
"10059_10",0.545279
"1005_2",0.469003
"1005_7",0.537358
"10060_10",0.565735
"10060_3",0.438942
"10061_10",0.56455
"10061_4",0.501185
"10062_4",0.494886
"10062_9",0.511912
"10063_1",0.473431
"10063_10",0.558812
"10064_10",0.566546
"10064_2",0.515342
"10065_1",0.439815
"10065_8",0.596732
"10066_1",0.526381
"10066_7",0.508544
"10067_4",0.470251
"10067_7",0.582263
"10068_3",0.441811
"10068_8",0.634589
"10069_10",0.594861
"10069_3",0.471061
"1006_3",0.449669
"1006_8",0.519583
"10070_10",0.558189
"10070_3",0.469253
"10071_2",0.501372
"10071_8",0.643445
"10072_1",0.474242
"10072_10",0.588437
"10073_3",0.493825
"10073_7",0.499189
"10074_3",0.505363
"10074_7",0.596919
"10075_10",0.600287
"10075_3",0.467506
"10076_10",0.602345
"10076_3",0.398403
"10077_3",0.435262
"10077_7",0.54715
"10078_10",0.56349
"10078_3",0.462954
"10079_1",0.448547
"10079_10",0.55401
"1007_4",0.488774
"1007_9",0.549707
"10080_1",0.473307
"10080_10",0.623238
"10081_1",0.494512
"10081_10",0.510727
"10082_1",0.416864
"10082_8",0.563053
"10083_10",0.617251
"10083_2",0.480541
"10084_10",0.578645
"10084_3",0.479855
"10085_10",0.555632
"10085_2",0.459149
"10086_1",0.489896
"10086_10",0.541599
"10087_1",0.466571
"10087_7",0.57771
"10088_1",0.47075
"10088_8",0.548958
"10089_1",0.507546
"10089_9",0.672072
"1008_10",0.532119
"1008_2",0.514531
"10090_10",0.599601
"10090_3",0.490021
"10091_1",0.464201
"10091_10",0.530872
"10092_4",0.469315
"10092_8",0.583759
"10093_1",0.484221
"10093_10",0.610328
"10094_4",0.463702
"10094_9",0.669141
"10095_3",0.485406
"10095_9",0.553948
"10096_1",0.430959
"10096_9",0.647187
"10097_10",0.623799
"10097_2",0.471872
"10098_1",0.49526
"10098_9",0.558563
"10099_4",0.497069
"10099_9",0.552139
"1009_3",0.493514
"1009_8",0.594923
"100_10",0.582574
"100_4",0.508794
"10100_10",0.572346
"10100_3",0.557066
"10101_4",0.491767
"10101_9",0.684358
"10102_2",0.488462
"10102_8",0.603343
"10103_1",0.40121
"10103_9",0.548023
"10104_1",0.411313
"10104_10",0.605775
"10105_3",0.333666
"10105_8",0.688038
"10106_1",0.447112
"10106_10",0.468317
"10107_2",0.450231
"10107_9",0.58008
"10108_1",0.47312
"10108_8",0.609018
"10109_1",0.449732
"10109_10",0.690969
"1010_1",0.465199
"1010_9",0.631533
"10110_1",0.423787
"10110_10",0.560621
"10111_1",0.363228
"10111_10",0.588
"10112_1",0.415367
"10112_10",0.677061
"10113_1",0.439566
"10113_9",0.613446
"10114_2",0.452538
"10114_8",0.589871
"10115_1",0.443807
"10115_8",0.548522
"10116_1",0.415991
"10116_10",0.562243
"10117_1",0.401397
"10117_9",0.548085
"10118_1",0.410503
"10118_8",0.719658
"10119_1",0.46838
"10119_10",0.571473
"1011_4",0.509729
"1011_8",0.563365
"10120_1",0.384308
"10120_10",0.555881
"10121_1",0.464887
"10121_10",0.601784
"10122_10",0.558126
"10122_2",0.467132
"10123_10",0.558937
"10123_4",0.45653
"10124_3",0.504927
"10124_8",0.670887
"10125_4",0.516278
"10125_8",0.534863
"10126_4",0.517213
"10126_9",0.598291
"10127_10",0.582824
"10127_2",0.434452
"10128_1",0.493327
"10128_10",0.61039
"10129_10",0.556442
"10129_2",0.427155
"1012_1",0.505551
"1012_8",0.461581
"10130_2",0.484782
"10130_8",0.615193
"10131_3",0.512411
"10131_7",0.681926
"10132_10",0.558875
"10132_3",0.492017
"10133_4",0.405825
"10133_8",0.567482
"10134_4",0.489834
"10134_7",0.620057
"10135_3",0.416802
"10135_8",0.66964
"10136_1",0.369839
"10136_10",0.556754
"10137_10",0.596919
"10137_2",0.506736
"10138_10",0.5295
"10138_2",0.44942
"10139_1",0.488836
"10139_10",0.533429
"1013_1",0.514968
"1013_7",0.522203
"10140_1",0.457341
"10140_10",0.581202
"10141_1",0.485842
"10141_8",0.553262
"10142_10",0.583822
"10142_3",0.477485
"10143_3",0.42466
"10143_9",0.584009
"10144_1",0.508544
"10144_8",0.632593
"10145_1",0.444119
"10145_8",0.577024
"10146_1",0.534115
"10146_10",0.622864
"10147_1",0.306785
"10147_7",0.541537
"10148_1",0.48946
"10148_10",0.621741
"10149_1",0.44599
"10149_9",0.60222
"1014_4",0.437445
"1014_8",0.517089
"10150_2",0.474429
"10150_8",0.660721
"10151_1",0.495447
"10151_8",0.577086
"10152_1",0.464575
"10152_9",0.576088
"10153_1",0.507546
"10153_10",0.53873
"10154_10",0.567419
"10154_2",0.557066
"10155_1",0.355557
"10155_7",0.533491
"10156_3",0.470625
"10156_8",0.560683
"10157_1",0.390794
"10157_8",0.58563
"10158_2",0.469689
"10158_9",0.618436
"10159_4",0.520706
"10159_7",0.623113
"1015_4",0.564737
"1015_8",0.563365
"10160_3",0.500374
"10160_7",0.62723
"10161_1",0.475926
"10161_7",0.534863
"10162_10",0.579893
"10162_4",0.478982
"10163_4",0.568604
"10163_7",0.631408
"10164_4",0.477922
"10164_9",0.540788
"10165_2",0.494636
"10165_9",0.618623
"10166_4",0.561494
"10166_8",0.576088
"10167_4",0.490957
"10167_9",0.743608
"10168_4",0.464513
"10168_9",0.674317
"10169_3",0.480167
"10169_8",0.623487
"1016_3",0.516091
"1016_7",0.500561
"10170_1",0.400836
"10170_8",0.548522
"10171_1",0.423849
