"id","sentiment"
"0_10",0.601555
"0_2",0.473805
"10000_4",0.449934
"10000_7",0.720561
"10001_1",0.443342
"10001_9",0.599334
"10002_3",0.564846
"10002_8",0.613767
"10003_3",0.544792
"10003_8",0.64999
"10004_2",0.523559
"10004_9",0.676844
"10005_2",0.571855
"10005_8",0.600999
"10006_2",0.438207
"10006_7",0.563944
"10007_10",0.599681
"10007_4",0.506974
"10008_4",0.54618
"10008_8",0.700853
"10009_10",0.648463
"10009_3",0.524461
"1000_3",0.531539
"1000_9",0.600028
"10010_2",0.559642
"10010_9",0.683783
"10011_1",0.520644
"10011_9",0.627507
"10012_1",0.404067
"10012_9",0.571369
"10013_4",0.545764
"10013_9",0.605371
"10014_2",0.520228
"10014_7",0.587468
"10015_4",0.559989
"10015_8",0.611824
"10016_3",0.505586
"10016_8",0.637985
"10017_1",0.54729
"10017_8",0.590521
"10018_1",0.561446
"10018_8",0.567692
"10019_1",0.40032
"10019_8",0.655055
"1001_10",0.634585
"1001_4",0.461453
"10020_1",0.446257
"10020_8",0.598848
"10021_3",0.485255
"10021_9",0.597113
"10022_10",0.637707
"10022_4",0.4448
"10023_4",0.557838
"10023_8",0.615988
"10024_3",0.365346
"10024_9",0.532996
"10025_2",0.426064
"10025_8",0.616821
"10026_10",0.781902
"10026_3",0.514815
"10027_1",0.525293
"10027_8",0.587884
"10028_10",0.637152
"10028_3",0.494622
"10029_1",0.300049
"10029_10",0.637152
"1002_3",0.518424
"1002_9",0.600028
"10030_3",0.466519
"10030_7",0.618764
"10031_2",0.475401
"10031_8",0.605857
"10032_1",0.457637
"10032_8",0.626952
"10033_1",0.493235
"10033_8",0.594338
"10034_1",0.490806
"10034_9",0.650614
"10035_1",0.490181
"10035_10",0.611894
"10036_1",0.473181
"10036_10",0.61231
"10037_1",0.546735
"10037_7",0.704531
"10038_4",0.437236
"10038_7",0.555756
"10039_1",0.434113
"10039_8",0.566095
"1003_4",0.604746
"1003_8",0.595309
"10040_10",0.60322
"10040_2",0.536465
"10041_1",0.214212
"10041_8",0.577892
"10042_1",0.507807
"10042_8",0.61682
"10043_1",0.546597
"10043_10",0.640761
"10044_2",0.491222
"10044_8",0.668795
"10045_1",0.484561
"10045_7",0.644785
"10046_10",0.566165
"10046_4",0.549164
"10047_1",0.454722
"10047_10",0.66928
"10048_1",0.494484
"10048_8",0.614461
"10049_1",0.458886
"10049_8",0.734786
"1004_10",0.767121
"1004_4",0.567969
"10050_4",0.59982
"10050_8",0.612727
"10051_2",0.529249
"10051_8",0.690931
"10052_4",0.433627
"10052_7",0.654847
"10053_10",0.640622
"10053_4",0.56325
"10054_3",0.572133
"10054_7",0.652904
"10055_1",0.536882
"10055_10",0.623274
"10056_1",0.519673
"10056_8",0.627646
"10057_1",0.539935
"10057_8",0.6112
"10058_2",0.566165
"10058_8",0.620637
"10059_1",0.510929
"10059_10",0.588648
