"id","sentiment"
"0_10",0.564465
"0_2",0.506321
"10000_4",0.493039
"10000_7",0.617808
"10001_1",0.494113
"10001_9",0.567679
"10002_3",0.542824
"10002_8",0.56634
"10003_3",0.551378
"10003_8",0.586666
"10004_2",0.526397
"10004_9",0.605541
"10005_2",0.538898
"10005_8",0.576573
"10006_2",0.483177
"10006_7",0.552484
"10007_10",0.575001
"10007_4",0.514744
"10008_4",0.540338
"10008_8",0.618779
"10009_10",0.587411
"10009_3",0.519847
"1000_3",0.523635
"1000_9",0.566247
"10010_2",0.546771
"10010_9",0.606362
"10011_1",0.517695
"10011_9",0.573525
"10012_1",0.478102
"10012_9",0.551343
"10013_4",0.534074
"10013_9",0.572488
"10014_2",0.532787
"10014_7",0.557558
"10015_4",0.549599
"10015_8",0.573208
"10016_3",0.518723
"10016_8",0.590029
"10017_1",0.544791
"10017_8",0.56129
"10018_1",0.547633
"10018_8",0.549659
"10019_1",0.463349
"10019_8",0.582525
"1001_10",0.591397
"1001_4",0.48958
"10020_1",0.476511
"10020_8",0.566964
"10021_3",0.511035
"10021_9",0.569125
"10022_10",0.593789
"10022_4",0.485459
"10023_4",0.548782
"10023_8",0.559251
"10024_3",0.438141
"10024_9",0.539664
"10025_2",0.470817
"10025_8",0.579131
"10026_10",0.63262
"10026_3",0.516051
"10027_1",0.526497
"10027_8",0.558163
"10028_10",0.586444
"10028_3",0.518596
"10029_1",0.41442
"10029_10",0.586664
"1002_3",0.52576
"1002_9",0.566247
"10030_3",0.492798
"10030_7",0.580866
"10031_2",0.503531
"10031_8",0.551298
"10032_1",0.482477
"10032_8",0.581589
"10033_1",0.50462
"10033_8",0.562984
"10034_1",0.509366
"10034_9",0.573971
"10035_1",0.512648
"10035_10",0.572242
"10036_1",0.50115
"10036_10",0.587904
"10037_1",0.532725
"10037_7",0.614191
"10038_4",0.472124
"10038_7",0.525922
"10039_1",0.482659
"10039_8",0.547643
"1003_4",0.574994
"1003_8",0.561346
"10040_10",0.569918
"10040_2",0.534374
"10041_1",0.377433
"10041_8",0.555757
"10042_1",0.517975
"10042_8",0.580288
"10043_1",0.5344
"10043_10",0.591684
"10044_2",0.515306
"10044_8",0.584983
"10045_1",0.502448
"10045_7",0.590314
"10046_10",0.5513
"10046_4",0.55184
"10047_1",0.493803
"10047_10",0.595833
"10048_1",0.51071
"10048_8",0.579776
"10049_1",0.496933
"10049_8",0.605221
"1004_10",0.656992
"1004_4",0.546634
"10050_4",0.557049
"10050_8",0.577151
"10051_2",0.529354
"10051_8",0.610975
"10052_4",0.481109
"10052_7",0.588333
"10053_10",0.584612
"10053_4",0.550777
"10054_3",0.554021
"10054_7",0.58956
"10055_1",0.534575
"10055_10",0.574493
"10056_1",0.53556
"10056_8",0.582332
"10057_1",0.535153
"10057_8",0.576548
"10058_2",0.543579
"10058_8",0.575685
"10059_1",0.533841
"10059_10",0.559613
"1005_2",0.515235
"1005_7",0.551426
"10060_10",0.576157
"10060_3",0.50715
"10061_10",0.572096
"10061_4",0.533353
"10062_4",0.524791
"10062_9",0.541608
"10063_1",0.517185
"10063_10",0.566524
"10064_10",0.572338
"10064_2",0.544221
"10065_1",0.497401
"10065_8",0.582471
"10066_1",0.547973
"10066_7",0.537575
"10067_4",0.486722
"10067_7",0.570729
"10068_3",0.495137
"10068_8",0.603994
"10069_10",0.582785
"10069_3",0.512208
"1006_3",0.502204
"1006_8",0.54928
"10070_10",0.564152
"10070_3",0.51549
"10071_2",0.540949
"10071_8",0.601552
"10072_1",0.51073
"10072_10",0.583434
"10073_3",0.527235
"10073_7",0.532523
"10074_3",0.537772
"10074_7",0.578995
"10075_10",0.5872
"10075_3",0.509523
"10076_10",0.591076
"10076_3",0.475448
"10077_3",0.483355
"10077_7",0.562258
"10078_10",0.567426
"10078_3",0.511648
"10079_1",0.503619
"10079_10",0.560286
"1007_4",0.519676
"1007_9",0.556285
"10080_1",0.512665
"10080_10",0.597463
"10081_1",0.536896
"10081_10",0.543735
"10082_1",0.491056
"10082_8",0.566692
"10083_10",0.595822
"10083_2",0.53358
"10084_10",0.583102
"10084_3",0.525803
"10085_10",0.565172
"10085_2",0.5085
"10086_1",0.529383
"10086_10",0.552659
"10087_1",0.513473
"10087_7",0.5779
"10088_1",0.517751
"10088_8",0.562492
"10089_1",0.537987
"10089_9",0.622614
"1008_10",0.550215
"1008_2",0.542642
"10090_10",0.579819
"10090_3",0.530852
"10091_1",0.508495
"10091_10",0.541429
"10092_4",0.515505
"10092_8",0.58045
"10093_1",0.523367
"10093_10",0.595805
"10094_4",0.50786
"10094_9",0.605156
"10095_3",0.524605
"10095_9",0.557116
"10096_1",0.497096
"10096_9",0.603602
"10097_10",0.597513
"10097_2",0.518799
"10098_1",0.525836
"10098_9",0.553715
"10099_4",0.529234
