"id","sentiment"
"0_10",0.58112
"0_2",0.456566
"10000_4",0.441622
"10000_7",0.675136
"10001_1",0.440778
"10001_9",0.559224
"10002_3",0.547464
"10002_8",0.575077
"10003_3",0.534209
"10003_8",0.612697
"10004_2",0.5077
"10004_9",0.659867
"10005_2",0.539602
"10005_8",0.582224
"10006_2",0.426484
"10006_7",0.558639
"10007_10",0.588786
"10007_4",0.475928
"10008_4",0.525698
"10008_8",0.669028
"10009_10",0.639076
"10009_3",0.497954
"1000_3",0.511404
"1000_9",0.567475
"10010_2",0.538562
"10010_9",0.675526
"10011_1",0.488468
"10011_9",0.607369
"10012_1",0.402768
"10012_9",0.562537
"10013_4",0.510429
"10013_9",0.588916
"10014_2",0.509649
"10014_7",0.571309
"10015_4",0.535379
"10015_8",0.588916
"10016_3",0.477163
"10016_8",0.641675
"10017_1",0.525048
"10017_8",0.574687
"10018_1",0.540122
"10018_8",0.564616
"10019_1",0.395037
"10019_8",0.613086
"1001_10",0.631279
"1001_4",0.456501
"10020_1",0.431617
"10020_8",0.576377
"10021_3",0.494251
"10021_9",0.571114
"10022_10",0.622378
"10022_4",0.420051
"10023_4",0.548633
"10023_8",0.588267
"10024_3",0.37535
"10024_9",0.51868
"10025_2",0.432461
"10025_8",0.597298
"10026_10",0.760445
"10026_3",0.494121
"10027_1",0.506985
"10027_8",0.572413
"10028_10",0.622313
"10028_3",0.485479
"10029_1",0.306933
"10029_10",0.620103
"1002_3",0.512638
"1002_9",0.567475
"10030_3",0.482296
"10030_7",0.596258
"10031_2",0.468261
"10031_8",0.569035
"10032_1",0.43532
"10032_8",0.606784
"10033_1",0.460984
"10033_8",0.572023
"10034_1",0.488988
"10034_9",0.648042
"10035_1",0.483335
"10035_10",0.58021
"10036_1",0.452408
"10036_10",0.606784
"10037_1",0.51946
"10037_7",0.685531
"10038_4",0.419921
"10038_7",0.54428
"10039_1",0.43506
"10039_8",0.534664
"1003_4",0.588722
"1003_8",0.594569
"10040_10",0.586512
"10040_2",0.513158
"10041_1",0.243714
"10041_8",0.547594
"10042_1",0.4847
"10042_8",0.595609
"10043_1",0.521344
"10043_10",0.622313
"10044_2",0.490287
"10044_8",0.636022
"10045_1",0.47138
"10045_7",0.617895
"10046_10",0.548893
"10046_4",0.547464
"10047_1",0.445521
"10047_10",0.653435
"10048_1",0.470016
"10048_8",0.589566
"10049_1",0.452993
"10049_8",0.674876
"1004_10",0.733806
"1004_4",0.547269
"10050_4",0.607174
"10050_8",0.595609
"10051_2",0.50822
"10051_8",0.665325
"10052_4",0.410435
"10052_7",0.629135
"10053_10",0.609773
"10053_4",0.557664
"10054_3",0.550582
"10054_7",0.605614
"10055_1",0.52011
"10055_10",0.590606
"10056_1",0.518615
"10056_8",0.587292
"10057_1",0.521604
"10057_8",0.59353
"10058_2",0.538692
"10058_8",0.598013
"10059_1",0.510364
"10059_10",0.563642
"1005_2",0.487493
"1005_7",0.535574
"10060_10",0.591061
"10060_3",0.459815
"10061_10",0.589241
"10061_4",0.511728
"10062_4",0.49464
"10062_9",0.519525
"10063_1",0.480021
"10063_10",0.572023
"10064_10",0.588072
"10064_2",0.528167
"10065_1",0.437659
"10065_8",0.613866
"10066_1",0.542201
"10066_7",0.534924
"10067_4",0.486324
"10067_7",0.600547
"10068_3",0.457671
"10068_8",0.670328
"10069_10",0.65389
"10069_3",0.478592
"1006_3",0.469561
"1006_8",0.544345
"10070_10",0.576052
"10070_3",0.481646
"10071_2",0.525373
"10071_8",0.657983
"10072_1",0.485154
"10072_10",0.614581
"10073_3",0.517121
"10073_7",0.521994
"10074_3",0.513937
"10074_7",0.597168
"10075_10",0.626536
"10075_3",0.478072
"10076_10",0.614581
"10076_3",0.416413
"10077_3",0.442337
"10077_7",0.563382
"10078_10",0.601456
"10078_3",0.478982
"10079_1",0.469041
"10079_10",0.572088
"1007_4",0.524008
"1007_9",0.578131
"10080_1",0.478787
"10080_10",0.628225
"10081_1",0.513418
"10081_10",0.535379
"10082_1",0.439413
"10082_8",0.590281
"10083_10",0.646613
"10083_2",0.515562
"10084_10",0.606914
"10084_3",0.490547
"10085_10",0.570269
"10085_2",0.461634
"10086_1",0.499319
"10086_10",0.555845
"10087_1",0.467677
"10087_7",0.605874
"10088_1",0.492951
"10088_8",0.578456
"10089_1",0.524528
"10089_9",0.726529
"1008_10",0.551167
"1008_2",0.537133
"10090_10",0.618089
"10090_3",0.514002
"10091_1",0.488533
"10091_10",0.545774
"10092_4",0.488663
"10092_8",0.607109
"10093_1",0.498409
"10093_10",0.62933
"10094_4",0.478202
"10094_9",0.70132
"10095_3",0.508415
"10095_9",0.59314
"10096_1",0.441168
"10096_9",0.665715
"10097_10",0.638101
"10097_2",0.468131
"10098_1",0.517251
"10098_9",0.59366
"10099_4",0.512768
"10099_9",0.595154
"1009_3",0.48444
"1009_8",0.609448
"100_10",0.607239
"100_4",0.513613
"10100_10",0.606979
"10100_3",0.572608
"10101_4",0.503542
"10101_9",0.696382
"10102_2",0.514587
"10102_8",0.622118
"10103_1",0.426224
"10103_9",0.569814
"10104_1",0.419986
"10104_10",0.63966
"10105_3",0.383601
"10105_8",0.716459
"10106_1",0.488403
"10106_10",0.481126
"10107_2",0.45884
"10107_9",0.604055
"10108_1",0.480411
