"id","sentiment"
"0_0",0
"10000_0",0
"10001_0",1
"10002_0",0
"10003_0",1
"10004_0",1
"10005_0",1
"10006_0",1
"10007_0",0
"10008_0",1
"10009_0",0
"1000_0",1
"10010_0",1
"10011_0",1
"10012_0",1
"10013_0",1
"10014_0",1
"10015_0",1
"10016_0",1
"10017_0",1
"10018_0",1
"10019_0",1
"1001_0",1
"10020_0",1
"10021_0",1
"10022_0",0
"10023_0",1
"10024_0",1
"10025_0",0
"10026_0",1
"10027_0",1
"10028_0",0
"10029_0",1
"1002_0",1
"10030_0",0
"10031_0",1
"10032_0",1
"10033_0",0
"10034_0",1
"10035_0",1
"10036_0",1
"10037_0",1
"10038_0",1
"10039_0",1
"1003_0",1
"10040_0",1
"10041_0",1
"10042_0",0
"10043_0",0
"10044_0",1
"10045_0",1
"10046_0",1
"10047_0",1
"10048_0",0
"10049_0",1
"1004_0",1
"10050_0",1
"10051_0",1
"10052_0",1
"10053_0",1
"10054_0",0
"10055_0",1
"10056_0",1
"10057_0",1
"10058_0",1
"10059_0",1
"1005_0",1
"10060_0",1
"10061_0",1
"10062_0",0
"10063_0",1
"10064_0",0
"10065_0",1
"10066_0",1
"10067_0",1
"10068_0",1
"10069_0",1
"1006_0",1
"10070_0",0
"10071_0",1
"10072_0",1
"10073_0",1
"10074_0",1
"10075_0",1
"10076_0",1
"10077_0",1
"10078_0",1
"10079_0",1
"1007_0",0
"10080_0",1
"10081_0",0
"10082_0",1
"10083_0",1
"10084_0",1
"10085_0",1
"10086_0",1
"10087_0",1
"10088_0",1
"10089_0",0
"1008_0",1
"10090_0",1
"10091_0",1
"10092_0",1
"10093_0",1
"10094_0",1
"10095_0",1
"10096_0",1
"10097_0",1
"10098_0",1
"10099_0",1
"1009_0",0
"100_0",1
"10100_0",1
"10101_0",0
"10102_0",0
"10103_0",1
"10104_0",0
"10105_0",1
"10106_0",1
"10107_0",0
"10108_0",1
"10109_0",1
"1010_0",1
"10110_0",1
"10111_0",1
"10112_0",1
"10113_0",0
"10114_0",0
"10115_0",1
"10116_0",1
"10117_0",1
"10118_0",1
"10119_0",1
"1011_0",1
"10120_0",0
"10121_0",0
"10122_0",1
"10123_0",1
"10124_0",1
"10125_0",1
"10126_0",0
"10127_0",1
"10128_0",1
"10129_0",1
"1012_0",1
"10130_0",0
"10131_0",1
"10132_0",1
"10133_0",1
"10134_0",1
"10135_0",1
"10136_0",1
"10137_0",1
"10138_0",1
"10139_0",0
"1013_0",1
"10140_0",1
"10141_0",1
"10142_0",1
"10143_0",1
"10144_0",1
"10145_0",0
"10146_0",0
"10147_0",1
"10148_0",1
"10149_0",1
"1014_0",1
"10150_0",1
"10151_0",1
"10152_0",1
"10153_0",1
"10154_0",1
"10155_0",1
"10156_0",1
"10157_0",1
"10158_0",1
"10159_0",1
"1015_0",1
"10160_0",1
"10161_0",1
"10162_0",1
"10163_0",1
"10164_0",1
"10165_0",1
"10166_0",1
"10167_0",1
"10168_0",1
"10169_0",1
"1016_0",1
"10170_0",1
"10171_0",0
"10172_0",1
"10173_0",1
"10174_0",1
"10175_0",0
"10176_0",1
"10177_0",1
"10178_0",1
"10179_0",1
"1017_0",1
"10180_0",1
"10181_0",0
"10182_0",0
"10183_0",0
"10184_0",1
"10185_0",0
"10186_0",1
"10187_0",1
"10188_0",1
"10189_0",1
"1018_0",1
"10190_0",1
"10191_0",1
"10192_0",0
"10193_0",0
"10194_0",1
"10195_0",1
"10196_0",1
"10197_0",1
"10198_0",1
"10199_0",0
"1019_0",1
"101_0",0
"10200_0",1
"10201_0",1
"10202_0",1
"10203_0",1
"10204_0",1
"10205_0",1
"10206_0",1
"10207_0",1
"10208_0",1
"10209_0",1
"1020_0",1
"10210_0",1
"10211_0",0
"10212_0",1
"10213_0",1
"10214_0",1
"10215_0",1
"10216_0",1
"10217_0",0
"10218_0",1
"10219_0",1
"1021_0",1
"10220_0",1
"10221_0",1
"10222_0",1
"10223_0",1
"10224_0",1
"10225_0",1
"10226_0",1
"10227_0",1
"10228_0",1
"10229_0",0
"1022_0",1
"10230_0",0
"10231_0",1
"10232_0",1
"10233_0",1
"10234_0",0
"10235_0",1
"10236_0",1
"10237_0",1
"10238_0",1
"10239_0",0
"1023_0",1
"10240_0",1
"10241_0",1
"10242_0",1
"10243_0",0
"10244_0",1
"10245_0",1
"10246_0",1
"10247_0",1
"10248_0",1
"10249_0",1
"1024_0",1
"10250_0",1
"10251_0",1
"10252_0",0
"10253_0",1
"10254_0",0
"10255_0",0
"10256_0",1
"10257_0",1
"10258_0",0
"10259_0",1
"1025_0",1
"10260_0",1
"10261_0",0
"10262_0",0
"10263_0",1
"10264_0",1
"10265_0",0
"10266_0",1
"10267_0",0
"10268_0",1
"10269_0",0
"1026_0",1
"10270_0",1
"10271_0",1
"10272_0",0
"10273_0",1
"10274_0",1
"10275_0",1
"10276_0",1
"10277_0",0
"10278_0",1
"10279_0",1
"1027_0",1
"10280_0",1
"10281_0",1
"10282_0",1
"10283_0",1
"10284_0",1
"10285_0",1
"10286_0",0
"10287_0",1
"10288_0",1
"10289_0",0
"1028_0",1
"10290_0",0
"10291_0",1
"10292_0",0
"10293_0",1
"10294_0",1
"10295_0",1
"10296_0",1
"10297_0",1
"10298_0",1
"10299_0",0
"1029_0",1
"102_0",0
"10300_0",1
"10301_0",1
"10302_0",1
"10303_0",1
"10304_0",0
"10305_0",1
"10306_0",1
"10307_0",1
"10308_0",1
"10309_0",1
"1030_0",1
"10310_0",0
"10311_0",1
"10312_0",0
"10313_0",0
"10314_0",1
"10315_0",1
"10316_0",1
"10317_0",1
"10318_0",0
"10319_0",1
"1031_0",0
"10320_0",1
"10321_0",1
"10322_0",1
"10323_0",0
"10324_0",0
"10325_0",1
"10326_0",0
"10327_0",1
"10328_0",1
"10329_0",1
"1032_0",1
"10330_0",1
"10331_0",1
"10332_0",1
"10333_0",1
"10334_0",0
"10335_0",0
"10336_0",1
"10337_0",1
"10338_0",1
"10339_0",1
"1033_0",1
"10340_0",1
"10341_0",1
"10342_0",1
"10343_0",0
"10344_0",1
"10345_0",0
"10346_0",1
"10347_0",1
"10348_0",1
"10349_0",0
"1034_0",0
"10350_0",1
"10351_0",1
"10352_0",0
"10353_0",1
"10354_0",1
"10355_0",1
"10356_0",1
"10357_0",1
"10358_0",1
"10359_0",1
"1035_0",1
"10360_0",1
"10361_0",1
"10362_0",1
"10363_0",1
"10364_0",1
"10365_0",1
"10366_0",1
"10367_0",0
"10368_0",1
"10369_0",1
"1036_0",1
"10370_0",1
"10371_0",1
"10372_0",1
"10373_0",0
"10374_0",1
"10375_0",1
"10376_0",1
"10377_0",1
"10378_0",1
"10379_0",1
"1037_0",1
"10380_0",1
"10381_0",0
"10382_0",1
"10383_0",1
"10384_0",0
"10385_0",1
"10386_0",1
"10387_0",1
"10388_0",1
"10389_0",1
"1038_0",1
"10390_0",1
"10391_0",1
"10392_0",1
"10393_0",1
"10394_0",1
"10395_0",1
"10396_0",0
"10397_0",1
"10398_0",0
"10399_0",1
"1039_0",1
"103_0",1
"10400_0",0
"10401_0",0
"10402_0",1
"10403_0",0
"10404_0",1
"10405_0",1
"10406_0",1
"10407_0",1
"10408_0",1
"10409_0",1
"1040_0",1
"10410_0",1
"10411_0",1
"10412_0",1
"10413_0",1
"10414_0",0
"10415_0",0
"10416_0",1
"10417_0",1
"10418_0",0
"10419_0",1
"1041_0",1
"10420_0",1
"10421_0",1
"10422_0",1
"10423_0",1
"10424_0",0
"10425_0",1
"10426_0",1
"10427_0",1
"10428_0",1
"10429_0",0
"1042_0",0
"10430_0",1
"10431_0",0
"10432_0",1
"10433_0",1
"10434_0",1
"10435_0",1
"10436_0",1
"10437_0",1
"10438_0",1
"10439_0",0
"1043_0",1
"10440_0",1
"10441_0",1
"10442_0",1
"10443_0",1
"10444_0",1
"10445_0",1
"10446_0",1
"10447_0",1
"10448_0",1
"10449_0",1
"1044_0",1
"10450_0",1
"10451_0",1
"10452_0",1
"10453_0",1
"10454_0",1
"10455_0",1
"10456_0",1
"10457_0",0
"10458_0",1
"10459_0",1
"1045_0",1
"10460_0",1
"10461_0",1
"10462_0",1
"10463_0",1
"10464_0",1
"10465_0",1
"10466_0",1
"10467_0",1
"10468_0",1
"10469_0",1
"1046_0",1
"10470_0",0
"10471_0",1
"10472_0",1
"10473_0",1
"10474_0",0
"10475_0",1
"10476_0",1
"10477_0",1
"10478_0",1
"10479_0",1
"1047_0",0
"10480_0",1
"10481_0",1
"10482_0",0
"10483_0",0
"10484_0",1
"10485_0",0
"10486_0",1
"10487_0",1
"10488_0",0
"10489_0",0
"1048_0",1
"10490_0",0
"10491_0",1
"10492_0",1
"10493_0",1
"10494_0",1
"10495_0",1
"10496_0",1
"10497_0",0
"10498_0",1
"10499_0",1
"1049_0",1
"104_0",0
"10500_0",0
"10501_0",1
"10502_0",0
"10503_0",1
"10504_0",0
"10505_0",0
"10506_0",0
"10507_0",1
"10508_0",1
"10509_0",0
"1050_0",1
"10510_0",1
"10511_0",1
"10512_0",0
"10513_0",1
"10514_0",1
"10515_0",1
"10516_0",1
"10517_0",1
"10518_0",1
"10519_0",1
"1051_0",1
"10520_0",1
"10521_0",1
"10522_0",1
"10523_0",1
"10524_0",1
"10525_0",1
"10526_0",0
"10527_0",0
"10528_0",0
"10529_0",1
"1052_0",1
"10530_0",1
"10531_0",1
"10532_0",1
"10533_0",1
"10534_0",1
"10535_0",0
"10536_0",1
"10537_0",1
"10538_0",1
"10539_0",1
"1053_0",1
"10540_0",1
"10541_0",1
"10542_0",1
"10543_0",1
"10544_0",1
"10545_0",1
"10546_0",1
"10547_0",1
"10548_0",1
"10549_0",1
"1054_0",1
"10550_0",1
"10551_0",1
"10552_0",1
"10553_0",0
"10554_0",1
"10555_0",1
"10556_0",1
"10557_0",1
"10558_0",0
"10559_0",0
"1055_0",0
"10560_0",0
"10561_0",1
"10562_0",1
"10563_0",1
"10564_0",1
"10565_0",1
"10566_0",1
"10567_0",1
"10568_0",1
"10569_0",1
"1056_0",1
"10570_0",0
"10571_0",1
"10572_0",1
"10573_0",1
"10574_0",1
"10575_0",1
"10576_0",1
"10577_0",1
"10578_0",1
"10579_0",1
"1057_0",1
"10580_0",1
"10581_0",1
"10582_0",1
"10583_0",0
"10584_0",1
"10585_0",1
"10586_0",1
"10587_0",0
"10588_0",1
"10589_0",0
"1058_0",1
"10590_0",1
"10591_0",1
"10592_0",1
"10593_0",1
"10594_0",0
"10595_0",1
"10596_0",1
"10597_0",1
"10598_0",1
"10599_0",1
"1059_0",0
"105_0",1
"10600_0",1
"10601_0",1
"10602_0",1
"10603_0",1
"10604_0",0
"10605_0",1
"10606_0",1
"10607_0",1
"10608_0",1
"10609_0",1
"1060_0",1
"10610_0",1
"10611_0",0
"10612_0",1
"10613_0",0
"10614_0",1
"10615_0",0
"10616_0",1
"10617_0",1
"10618_0",1
"10619_0",1
"1061_0",1
"10620_0",0
"10621_0",0
"10622_0",1
"10623_0",1
"10624_0",1
"10625_0",1
"10626_0",1
"10627_0",1
"10628_0",1
"10629_0",1
"1062_0",1
"10630_0",1
"10631_0",1
"10632_0",1
"10633_0",1
"10634_0",1
"10635_0",1
"10636_0",1
"10637_0",1
"10638_0",1
"10639_0",1
"1063_0",1
"10640_0",1
"10641_0",0
"10642_0",1
"10643_0",1
"10644_0",0
"10645_0",1
"10646_0",0
"10647_0",1
"10648_0",1
"10649_0",1
"1064_0",1
"10650_0",1
"10651_0",1
"10652_0",1
"10653_0",1
"10654_0",1
"10655_0",1
"10656_0",1
"10657_0",1
"10658_0",0
"10659_0",1
"1065_0",0
"10660_0",0
"10661_0",1
"10662_0",1
"10663_0",1
"10664_0",1
"10665_0",1
"10666_0",0
"10667_0",1
"10668_0",1
"10669_0",1
"1066_0",0
"10670_0",1
"10671_0",1
"10672_0",1
"10673_0",1
"10674_0",1
"10675_0",0
"10676_0",1
"10677_0",1
"10678_0",1
"10679_0",0
"1067_0",1
"10680_0",0
"10681_0",1
"10682_0",1
"10683_0",1
"10684_0",1
"10685_0",1
"10686_0",1
"10687_0",1
"10688_0",0
"10689_0",1
"1068_0",0
"10690_0",0
"10691_0",1
"10692_0",1
"10693_0",1
"10694_0",1
"10695_0",1
"10696_0",1
"10697_0",1
"10698_0",0
"10699_0",1
"1069_0",1
"106_0",1
"10700_0",1
"10701_0",1
"10702_0",0
"10703_0",1
"10704_0",0
"10705_0",1
"10706_0",0
"10707_0",1
"10708_0",0
"10709_0",0
"1070_0",0
"10710_0",1
"10711_0",1
"10712_0",1
"10713_0",1
"10714_0",0
"10715_0",0
"10716_0",0
"10717_0",1
"10718_0",0
"10719_0",1
"1071_0",1
"10720_0",1
"10721_0",1
"10722_0",1
"10723_0",1
"10724_0",1
"10725_0",1
"10726_0",1
"10727_0",1
"10728_0",0
"10729_0",1
"1072_0",0
"10730_0",1
"10731_0",1
"10732_0",0
"10733_0",1
