"id","sentiment"
"0_0",1
"10000_0",0
"10001_0",0
"10002_0",0
"10003_0",1
"10004_0",0
"10005_0",1
"10006_0",0
"10007_0",0
"10008_0",1
"10009_0",1
"1000_0",0
"10010_0",1
"10011_0",0
"10012_0",1
"10013_0",1
"10014_0",1
"10015_0",1
"10016_0",1
"10017_0",1
"10018_0",0
"10019_0",1
"1001_0",1
"10020_0",1
"10021_0",1
"10022_0",1
"10023_0",1
"10024_0",0
"10025_0",0
"10026_0",1
"10027_0",1
"10028_0",1
"10029_0",1
"1002_0",0
"10030_0",1
"10031_0",1
"10032_0",1
"10033_0",1
"10034_0",1
"10035_0",1
"10036_0",1
"10037_0",1
"10038_0",1
"10039_0",1
"1003_0",1
"10040_0",0
"10041_0",1
"10042_0",1
"10043_0",1
"10044_0",0
"10045_0",0
"10046_0",1
"10047_0",1
"10048_0",1
"10049_0",0
"1004_0",1
"10050_0",0
"10051_0",1
"10052_0",0
"10053_0",1
"10054_0",0
"10055_0",1
"10056_0",1
"10057_0",1
"10058_0",0
"10059_0",1
"1005_0",0
"10060_0",1
"10061_0",1
"10062_0",0
"10063_0",1
"10064_0",0
"10065_0",0
"10066_0",1
"10067_0",1
"10068_0",1
"10069_0",0
"1006_0",1
"10070_0",0
"10071_0",1
"10072_0",1
"10073_0",1
"10074_0",1
"10075_0",0
"10076_0",0
"10077_0",0
"10078_0",1
"10079_0",1
"1007_0",0
"10080_0",1
"10081_0",0
"10082_0",0
"10083_0",1
"10084_0",1
"10085_0",1
"10086_0",1
"10087_0",1
"10088_0",0
"10089_0",1
"1008_0",1
"10090_0",1
"10091_0",1
"10092_0",0
"10093_0",1
"10094_0",0
"10095_0",1
"10096_0",1
"10097_0",0
"10098_0",1
"10099_0",0
"1009_0",1
"100_0",1
"10100_0",1
"10101_0",1
"10102_0",0
"10103_0",0
"10104_0",0
"10105_0",1
"10106_0",1
"10107_0",1
"10108_0",1
"10109_0",1
"1010_0",0
"10110_0",1
"10111_0",0
"10112_0",0
"10113_0",1
"10114_0",0
"10115_0",0
"10116_0",1
"10117_0",1
"10118_0",1
"10119_0",1
"1011_0",1
"10120_0",1
"10121_0",1
"10122_0",1
"10123_0",0
"10124_0",0
"10125_0",1
"10126_0",0
"10127_0",0
"10128_0",1
"10129_0",1
"1012_0",1
"10130_0",1
"10131_0",0
"10132_0",1
"10133_0",1
"10134_0",1
"10135_0",0
"10136_0",1
"10137_0",1
"10138_0",1
"10139_0",1
"1013_0",1
"10140_0",1
"10141_0",1
"10142_0",0
"10143_0",1
"10144_0",0
"10145_0",0
"10146_0",1
"10147_0",0
"10148_0",1
"10149_0",0
"1014_0",1
"10150_0",1
"10151_0",1
"10152_0",1
"10153_0",0
"10154_0",0
"10155_0",0
"10156_0",1
"10157_0",0
"10158_0",1
"10159_0",0
"1015_0",0
"10160_0",1
"10161_0",1
"10162_0",1
"10163_0",1
"10164_0",1
"10165_0",1
"10166_0",1
"10167_0",1
"10168_0",0
"10169_0",1
"1016_0",1
"10170_0",1
"10171_0",1
"10172_0",0
"10173_0",0
"10174_0",0
