"id","sentiment"
"0_10",1
"0_2",0
"10000_4",0
"10000_7",1
"10001_1",0
"10001_9",1
"10002_3",0
"10002_8",1
"10003_3",1
"10003_8",1
"10004_2",0
"10004_9",1
"10005_2",0
"10005_8",1
"10006_2",0
"10006_7",1
"10007_10",1
"10007_4",0
"10008_4",0
"10008_8",1
"10009_10",1
"10009_3",0
"1000_3",0
"1000_9",1
"10010_2",0
"10010_9",1
"10011_1",0
"10011_9",1
"10012_1",0
"10012_9",1
"10013_4",0
"10013_9",1
"10014_2",0
"10014_7",1
"10015_4",1
"10015_8",1
"10016_3",0
"10016_8",1
"10017_1",0
"10017_8",1
"10018_1",0
"10018_8",1
"10019_1",0
"10019_8",1
"1001_10",1
"1001_4",0
"10020_1",0
"10020_8",1
"10021_3",0
"10021_9",1
"10022_10",1
"10022_4",0
"10023_4",1
"10023_8",1
"10024_3",0
"10024_9",0
"10025_2",0
"10025_8",1
"10026_10",1
"10026_3",0
"10027_1",0
"10027_8",1
"10028_10",1
"10028_3",0
"10029_1",0
"10029_10",1
"1002_3",0
"1002_9",1
"10030_3",0
"10030_7",1
"10031_2",0
"10031_8",1
"10032_1",0
"10032_8",1
"10033_1",0
"10033_8",1
"10034_1",0
"10034_9",1
"10035_1",0
"10035_10",1
"10036_1",0
"10036_10",1
"10037_1",0
"10037_7",1
"10038_4",0
"10038_7",0
"10039_1",0
"10039_8",0
"1003_4",1
"1003_8",1
"10040_10",1
"10040_2",0
"10041_1",0
"10041_8",1
"10042_1",0
"10042_8",1
"10043_1",0
"10043_10",1
"10044_2",0
"10044_8",1
"10045_1",0
"10045_7",1
"10046_10",1
"10046_4",0
"10047_1",0
"10047_10",1
"10048_1",0
"10048_8",1
"10049_1",0
"10049_8",1
"1004_10",1
"1004_4",1
"10050_4",1
"10050_8",1
"10051_2",0
"10051_8",1
"10052_4",0
"10052_7",1
"10053_10",1
"10053_4",1
"10054_3",1
"10054_7",1
"10055_1",0
"10055_10",1
"10056_1",0
"10056_8",1
"10057_1",0
"10057_8",1
"10058_2",1
"10058_8",1
"10059_1",0
"10059_10",1
"1005_2",0
"1005_7",1
"10060_10",1
"10060_3",0
"10061_10",1
"10061_4",0
"10062_4",0
"10062_9",0
"10063_1",0
"10063_10",1
"10064_10",1
"10064_2",0
"10065_1",0
"10065_8",1
"10066_1",0
"10066_7",0
"10067_4",0
"10067_7",1
"10068_3",0
"10068_8",1
"10069_10",1
"10069_3",0
"1006_3",0
"1006_8",1
"10070_10",1
"10070_3",0
"10071_2",0
"10071_8",1
"10072_1",0
"10072_10",1
"10073_3",0
"10073_7",0
"10074_3",0
"10074_7",1
"10075_10",1
"10075_3",0
"10076_10",1
"10076_3",0
"10077_3",0
"10077_7",1
"10078_10",1
"10078_3",0
"10079_1",0
"10079_10",1
"1007_4",0
"1007_9",1
"10080_1",0
"10080_10",1
"10081_1",0
"10081_10",1
"10082_1",0
"10082_8",1
"10083_10",1
"10083_2",0
"10084_10",1
"10084_3",0
"10085_10",1
"10085_2",0
"10086_1",0
"10086_10",1
"10087_1",0
"10087_7",1
"10088_1",0
"10088_8",1
"10089_1",0
"10089_9",1
"1008_10",1
"1008_2",0
"10090_10",1
"10090_3",0
"10091_1",0
"10091_10",0
"10092_4",0
"10092_8",1
"10093_1",0
"10093_10",1
"10094_4",0
"10094_9",1
"10095_3",0
"10095_9",1
"10096_1",0
"10096_9",1
"10097_10",1
"10097_2",0
"10098_1",0
"10098_9",1
"10099_4",0
"10099_9",1
"1009_3",0
"1009_8",1
"100_10",1
"100_4",0
"10100_10",1
"10100_3",1
"10101_4",0
"10101_9",1
"10102_2",0
"10102_8",1
"10103_1",0
"10103_9",1
"10104_1",0
"10104_10",1
"10105_3",0
"10105_8",1
"10106_1",0
"10106_10",0
"10107_2",0
"10107_9",1
"10108_1",0
"10108_8",1
"10109_1",0
"10109_10",1
"1010_1",0
"1010_9",1
"10110_1",0
"10110_10",1
"10111_1",0
"10111_10",1
"10112_1",0
"10112_10",1
"10113_1",0
"10113_9",1
"10114_2",0
"10114_8",1
"10115_1",0
"10115_8",1
"10116_1",0
"10116_10",1
"10117_1",0
"10117_9",1
"10118_1",0
"10118_8",1
"10119_1",0
"10119_10",1
"1011_4",0
"1011_8",1
"10120_1",0
"10120_10",1
"10121_1",0
"10121_10",1
"10122_10",1
"10122_2",0
"10123_10",1
"10123_4",0
"10124_3",0
"10124_8",1
"10125_4",0
"10125_8",1
"10126_4",0
"10126_9",1
"10127_10",1
"10127_2",0
"10128_1",0
"10128_10",1
"10129_10",1
"10129_2",0
"1012_1",0
"1012_8",0
"10130_2",0
"10130_8",1
"10131_3",0
"10131_7",1
"10132_10",1
"10132_3",0
"10133_4",0
"10133_8",1
"10134_4",0
"10134_7",1
"10135_3",0
"10135_8",1
"10136_1",0
"10136_10",1
"10137_10",1
"10137_2",1
"10138_10",1
"10138_2",0
"10139_1",0
"10139_10",0
"1013_1",1
"1013_7",1
"10140_1",0
"10140_10",1
"10141_1",0
"10141_8",1
"10142_10",1
"10142_3",0
"10143_3",0
"10143_9",1
"10144_1",0
"10144_8",1
"10145_1",0
"10145_8",1
"10146_1",1
"10146_10",1
"10147_1",0
"10147_7",1
"10148_1",0
"10148_10",1
"10149_1",0
"10149_9",1
"1014_4",0
"1014_8",0
"10150_2",0
"10150_8",1
"10151_1",0
"10151_8",1
"10152_1",0
"10152_9",1
"10153_1",0
"10153_10",1
"10154_10",1
"10154_2",1
"10155_1",0
"10155_7",1
"10156_3",0
"10156_8",1
"10157_1",0
"10157_8",1
"10158_2",0
"10158_9",1
"10159_4",1
"10159_7",1
"1015_4",1
"1015_8",1
"10160_3",0
"10160_7",1
"10161_1",0
"10161_7",1
"10162_10",1
"10162_4",0
"10163_4",1
"10163_7",1
"10164_4",0
"10164_9",1
"10165_2",0
"10165_9",1
"10166_4",1
"10166_8",1
"10167_4",0
"10167_9",1
"10168_4",0
"10168_9",1
"10169_3",0
"10169_8",1
"1016_3",0
"1016_7",0
"10170_1",0
"10170_8",1
"10171_1",0
"10171_8",1
"10172_1",0
"10172_9",1
"10173_1",0
"10173_8",1
"10174_1",0
"10174_9",1
"10175_2",0
"10175_7",1
"10176_1",0
"10176_9",1
"10177_10",1
"10177_3",0
"10178_1",0
"10178_10",1
"10179_1",0
"10179_10",1
"1017_1",0
"1017_7",0
"10180_1",0
"10180_8",1
"10181_10",1
"10181_2",0
"10182_10",1
"10182_3",0
"10183_1",0
"10183_9",1
"10184_1",0
"10184_9",1
"10185_1",1
"10185_10",1
"10186_1",0
"10186_10",0
"10187_1",0
"10187_10",1
"10188_1",1
"10188_10",1
"10189_1",0
"10189_10",1
"1018_4",0
"1018_7",1
"10190_1",0
"10190_10",0
"10191_1",0
"10191_10",1
"10192_1",0
"10192_10",1
"10193_1",0
"10193_7",1
"10194_1",0
"10194_7",0
"10195_1",0
"10195_10",1
"10196_1",0
"10196_8",1
"10197_2",0
"10197_8",1
"10198_2",0
"10198_8",1
"10199_1",0
"10199_10",1
"1019_10",1
"1019_3",0
"101_3",0
"101_9",0
"10200_1",0
"10200_7",0
"10201_1",1
"10201_7",1
"10202_4",1
"10202_9",1
"10203_10",1
"10203_2",0
"10204_10",1
"10204_2",0
"10205_1",0
"10205_10",1
"10206_4",1
"10206_8",1
"10207_10",1
"10207_3",0
"10208_1",0
"10208_10",1
"10209_1",0
"10209_7",0
"1020_2",0
"1020_7",0
"10210_3",0
"10210_7",1
"10211_4",0
"10211_8",1
"10212_4",0
"10212_7",0
"10213_4",0
"10213_7",0
"10214_10",1
"10214_2",0
"10215_10",0
"10215_4",0
"10216_1",0
"10216_10",1
"10217_4",0
"10217_7",1
"10218_4",0
"10218_7",1
"10219_4",0
"10219_9",0
"1021_2",0
"1021_7",1
"10220_10",1
"10220_3",0
"10221_2",0
"10221_8",1
"10222_1",0
"10222_8",1
"10223_10",1
"10223_2",0
"10224_2",0
"10224_9",1
"10225_1",0
"10225_10",1
"10226_10",1
"10226_3",0
"10227_3",0
"10227_7",1
"10228_1",0
"10228_10",1
"10229_10",1
"10229_2",0
"1022_10",1
"1022_3",0
"10230_2",0
"10230_7",1
"10231_4",0
"10231_9",1
"10232_1",0
"10232_10",1
"10233_3",0
"10233_7",0
"10234_3",0
"10234_9",1
"10235_10",1
"10235_3",0
"10236_10",1
"10236_4",0
"10237_10",1
"10237_3",0
"10238_2",1
"10238_7",1
"10239_1",0
"10239_9",1
"1023_10",1
"1023_3",0
"10240_1",0
"10240_10",1
"10241_1",0
"10241_10",1
"10242_2",0
"10242_8",1
"10243_2",0
"10243_9",1
"10244_2",0
"10244_7",1
"10245_4",0
"10245_9",1
"10246_2",0
"10246_9",1
"10247_1",0
"10247_10",1
"10248_1",0
"10248_9",1
"10249_1",0
"10249_8",1
"1024_4",0
"1024_9",1
"10250_10",1
"10250_4",0
"10251_10",1
"10251_3",0
"10252_1",0
"10252_10",1
"10253_3",0
"10253_7",1
"10254_1",0
"10254_8",1
"10255_1",1
"10255_10",1
"10256_10",1
"10256_4",0
"10257_10",1
"10257_3",0
"10258_1",0
"10258_8",1
"10259_10",0
"10259_3",0
"1025_10",1
"1025_3",0
